Photo,Replicate,x,y,z,width
IMG_9116.JPG,22,2.786,29.768,34.287,29.768
IMG_9116.JPG,23,2.829,30.269,28.695,30.269
IMG_9116.JPG,24,1.311,13.999,-93.434,13.999
IMG_9117.JPG,1,2.769,25.142,-123.275,25.142
IMG_9117.JPG,2,2.014,18.298,-68.962,18.298
IMG_9117.JPG,3,3.62,32.988,-125.272,32.988
IMG_9117.JPG,4,1.81,16.461,-61.39,16.461
IMG_9117.JPG,5,3.787,34.517,63.435,34.517
IMG_9117.JPG,6,3.608,32.812,48.652,32.812
IMG_9117.JPG,7,5.226,47.652,1.975,47.652
IMG_9117.JPG,8,8.702,79.344,41.476,79.344
IMG_9117.JPG,9,6.784,61.879,37.235,61.879
IMG_9117.JPG,10,4.051,36.851,36.666,36.851
IMG_9117.JPG,11,4.471,40.696,-47.944,40.696
IMG_9117.JPG,12,4.818,43.953,24.267,43.953
IMG_9117.JPG,13,4.219,38.428,52.64,38.428
IMG_9117.JPG,14,6.892,62.838,-71.092,62.838
IMG_9117.JPG,15,5.813,52.979,19.558,52.979
IMG_9117.JPG,16,7.012,63.931,-24.59,63.931
IMG_9117.JPG,17,7.347,67.04,-51.165,67.04
IMG_9117.JPG,18,6.005,54.687,78.218,54.687
IMG_9117.JPG,19,3.811,34.654,14.826,34.654
IMG_9117.JPG,20,3.775,34.375,45.774,34.375
IMG_9117.JPG,21,3.62,32.903,-63.947,32.903
IMG_9117.JPG,22,1.762,16.016,-28.142,16.016
IMG_9117.JPG,23,2.038,18.544,112.932,18.544
IMG_9117.JPG,24,3.668,33.446,44.204,33.446
IMG_9117.JPG,25,3.668,33.341,71.03,33.341
IMG_9118.JPG,1,3.921,33.718,-141.71,33.718
IMG_9118.JPG,2,3.705,31.828,-36.995,31.828
IMG_9118.JPG,3,4.217,36.25,-148.753,36.25
IMG_9118.JPG,4,1.927,16.426,94.865,16.426
IMG_9118.JPG,5,6.791,58.42,-95.473,58.42
IMG_9118.JPG,6,7.478,64.353,-24.624,64.353
IMG_9118.JPG,7,6.359,54.618,8.802,54.618
IMG_9118.JPG,8,2.573,22.051,68.703,22.051
IMG_9118.JPG,9,5.511,47.36,-90.421,47.36
IMG_9118.JPG,10,6.561,56.452,-47.75,56.452
IMG_9118.JPG,11,4.675,40.136,134.648,40.136
IMG_9118.JPG,12,4.635,39.78,23.199,39.78
IMG_9118.JPG,13,6.13,52.696,-82.405,52.696
IMG_9118.JPG,14,6.817,58.605,44.519,58.605
IMG_9118.JPG,15,7.909,68.028,-58.181,68.028
IMG_9118.JPG,16,7.1,60.999,-77.471,60.999
IMG_9118.JPG,17,3.88,33.331,32.196,33.331
IMG_9118.JPG,18,4.136,35.548,-60.673,35.548
IMG_9118.JPG,19,5.349,45.93,-72.801,45.93
IMG_9118.JPG,20,6.494,55.86,-37.656,55.86
IMG_9118.JPG,21,5.403,46.417,27.719,46.417
IMG_9119.JPG,1,6.791,58.047,56.31,58.047
IMG_9119.JPG,2,6.873,58.823,79.024,58.823
IMG_9119.JPG,3,5.308,45.413,76.178,45.413
IMG_9119.JPG,4,2.178,18.552,91.081,18.552
IMG_9119.JPG,5,1.429,12.149,138.504,12.149
IMG_9119.JPG,6,2.382,20.311,91.975,20.311
IMG_9119.JPG,7,4.491,38.379,65.772,38.379
IMG_9119.JPG,8,5.757,49.177,85.101,49.177
IMG_9119.JPG,9,8.52,72.881,-87.248,72.881
IMG_9119.JPG,10,5.893,50.446,60.945,50.446
IMG_9119.JPG,11,6.751,57.705,42.788,57.705
IMG_9119.JPG,12,5.498,46.958,12.482,46.958
IMG_9119.JPG,13,2.463,20.944,80.38,20.944
IMG_9119.JPG,14,4.832,41.24,59.954,41.24
IMG_9119.JPG,15,6.819,58.347,40.378,58.347
IMG_9119.JPG,16,9.105,77.915,71.402,77.915
IMG_9119.JPG,17,7.594,65.037,8.043,65.037
IMG_9119.JPG,18,2.368,20.196,27.897,20.196
IMG_9119.JPG,19,2.314,19.761,67.068,19.761
IMG_9119.JPG,20,3.96,33.809,62.904,33.809
